ID,Date,Zone,Lat,Long,Meter Number,Reason for Over Abstraction,HouseHolds,Type of Housing,Main Pipe Length,Daily Abstraction Avg,Water Kiosks,Car Wash and Hotels,Schools,Churches,Farming,Over Abstraction
1,7/3/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
12,8/3/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
1,8/3/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
12,8/3/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,115,single family units,960,86.25,0,0,0,0,4,2
11,9/3/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,3
12,12/3/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,125,single family units,960,93.75,0,0,0,0,4,3
5,12/3/2018,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Htl_Inds,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,8
1,13/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,8
1,14/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
1,15/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
11,16/03/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
1,19/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,4
6,19/03/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_3,138,single units rentals,1604,103.5,2,0,1,2,1,2
1,19/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
12,19/03/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_2,115,single family units,960,86.25,0,0,0,0,4,8
1,20/03/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
6,21/03/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,179,single units rentals,1604,134.25,2,0,1,2,1,8
